user_id,name,gender,age,city,signup_date,is_swiggy_one
1001,Rahul Mehta,Male,33,Mumbai,2023-05-23,0
1002,Anand Kulkarni,Male,20,Bangalore,2023-04-06,1
1003,Vishal Rao,Male,45,Kolkata,2023-08-14,0
1004,Priya Reddy,Female,46,Kolkata,2023-12-15,1
1005,Deepak Gupta,Male,43,Bangalore,2023-04-10,1
1006,Anushka Mehta,Female,21,Chennai,2024-04-15,0
1007,Sneha Mukherjee,Female,42,Delhi,2023-07-16,0
1008,Ayush Nair,Male,37,Chennai,2023-03-23,0
1009,Pranav Mehta,Male,42,Hyderabad,2023-06-16,0
1010,Ayush Mehta,Male,23,Kolkata,2023-06-25,0
1011,Kunal Deshmukh,Male,36,Hyderabad,2023-08-13,0
1012,Suresh Verma,Male,39,Chennai,2024-02-15,1
1013,Anand Choudhury,Male,32,Delhi,2024-05-26,0
1014,Neha Mehta,Female,34,Mumbai,2023-09-27,0
1015,Nandini Bose,Female,33,Delhi,2023-05-22,0
1016,Amit Gupta,Male,29,Mumbai,2024-03-08,0
1017,Shreya Bhat,Female,52,Hyderabad,2023-09-15,0
1018,Ayush Gupta,Male,36,Kolkata,2023-12-15,1
1019,Divya Deshmukh,Female,35,Bangalore,2024-05-27,0
1020,Tanmay Joshi,Male,51,Chennai,2023-07-23,1
1021,Vishal Malhotra,Male,39,Bangalore,2024-05-15,1
1022,Shruti Nair,Female,34,Bangalore,2023-03-22,1
1023,Sneha Mukherjee,Female,27,Chennai,2023-05-12,0
1024,Arjun Malhotra,Male,46,Chennai,2023-08-05,0
1025,Harsh Joshi,Male,42,Hyderabad,2024-03-24,0
1026,Pooja Nair,Female,23,Mumbai,2023-12-13,1
1027,Anand Nair,Male,23,Bangalore,2023-03-02,1
1028,Deepak Patel,Male,34,Pune,2023-10-13,0
1029,Vishal Iyer,Male,49,Kolkata,2023-09-06,0
1030,Ritu Gupta,Female,46,Bangalore,2023-12-29,0
1031,Bhavna Verma,Female,25,Kolkata,2023-03-04,0
1032,Pooja Nair,Female,31,Mumbai,2024-04-04,1
1033,Arjun Deshmukh,Male,23,Mumbai,2024-03-29,0
1034,Amit Nambiar,Male,19,Pune,2023-04-06,0
1035,Kunal Kulkarni,Male,49,Hyderabad,2023-08-07,0
1036,Kunal Bose,Male,43,Bangalore,2023-09-29,0
1037,Shruti Kulkarni,Female,50,Kolkata,2023-06-08,1
1038,Amit Sen,Male,22,Kolkata,2023-11-18,1
1039,Pallavi Malhotra,Female,22,Mumbai,2024-06-04,1
1040,Rohan Bhat,Male,34,Bangalore,2024-02-18,1
1041,Anand Bhat,Male,24,Bangalore,2024-03-05,0
1042,Aishwarya Rao,Female,39,Kolkata,2023-09-02,1
1043,Ayush Nambiar,Male,48,Delhi,2023-11-20,0
1044,Rahul Deshmukh,Male,25,Pune,2023-03-17,0
1045,Neha Das,Female,34,Bangalore,2024-01-14,1
1046,Simran Choudhury,Female,52,Delhi,2023-01-09,0
1047,Rhea Gupta,Female,35,Mumbai,2023-04-29,0
1048,Arjun Joshi,Male,32,Pune,2023-12-18,1
1049,Pallavi Chopra,Female,22,Delhi,2023-04-05,0
1050,Ananya Sharma,Female,27,Delhi,2023-09-26,1
1051,Simran Choudhury,Female,19,Hyderabad,2023-04-25,1
1052,Vishal Verma,Male,42,Chennai,2023-06-01,0
1053,Karthik Das,Male,21,Chennai,2024-01-02,1
1054,Ayush Gupta,Male,45,Delhi,2023-06-08,0
1055,Kunal Reddy,Male,20,Hyderabad,2023-07-03,0
1056,Kavya Pillai,Female,34,Chennai,2023-10-01,1
1057,Pranav Verma,Male,49,Chennai,2023-08-16,1
1058,Megha Joshi,Female,33,Chennai,2023-08-17,1
1059,Pranav Singh,Male,23,Delhi,2023-10-13,1
1060,Rhea Mukherjee,Female,20,Delhi,2023-04-29,0
1061,Divya Sen,Female,21,Delhi,2023-04-22,0
1062,Bhavna Singh,Female,51,Hyderabad,2023-04-29,0
1063,Arjun Verma,Male,46,Kolkata,2023-01-02,0
1064,Nikhil Kulkarni,Male,40,Bangalore,2023-11-18,0
1065,Mayank Joshi,Male,38,Pune,2024-02-23,1
1066,Simran Iyer,Female,45,Mumbai,2024-01-24,0
1067,Rakesh Sen,Male,44,Delhi,2023-01-01,1
1068,Varun Sen,Male,39,Pune,2024-04-21,0
1069,Siddharth Chopra,Male,29,Chennai,2023-03-28,1
1070,Sneha Nair,Female,38,Kolkata,2023-08-19,0
1071,Rahul Verma,Male,49,Mumbai,2023-03-16,0
1072,Harsh Choudhury,Male,50,Hyderabad,2024-02-14,1
1073,Aditya Kulkarni,Male,30,Mumbai,2024-06-14,0
1074,Aditya Deshmukh,Male,48,Mumbai,2024-06-27,0
1075,Deepika Bhat,Female,51,Chennai,2024-03-12,0
1076,Divya Chopra,Female,35,Hyderabad,2023-09-11,0
1077,Pallavi Chopra,Female,34,Kolkata,2023-10-09,0
1078,Swati Mehta,Female,39,Delhi,2023-03-24,1
1079,Pranav Choudhury,Male,32,Mumbai,2023-03-07,0
1080,Simran Deshmukh,Female,22,Hyderabad,2023-07-31,0
1081,Nandini Choudhury,Female,43,Bangalore,2024-05-03,1
1082,Shruti Bose,Female,45,Chennai,2023-08-14,0
1083,Kavya Chopra,Female,43,Bangalore,2023-12-11,0
1084,Bhavna Reddy,Female,48,Chennai,2023-05-11,0
1085,Pranav Sen,Male,20,Pune,2023-03-27,0
1086,Manish Reddy,Male,35,Bangalore,2024-01-24,1
1087,Tanvi Singh,Female,43,Chennai,2023-10-12,0
1088,Aishwarya Patel,Female,20,Hyderabad,2023-02-23,0
1089,Swati Nambiar,Female,21,Bangalore,2023-02-01,0
